Day,Entries,Exits
"Saturday, December 30, 2023",35,63
"Friday, December 29, 2023",34,25
"Wednesday, December 27, 2023",17,18
"Saturday, December 23, 2023",21,27
"Friday, December 22, 2023",31,34
"Wednesday, December 20, 2023",24,36
"Saturday, December 16, 2023",50,103
"Friday, December 15, 2023",46,106
"Wednesday, December 13, 2023",10,14
"Saturday, December 9, 2023",54,124
"Friday, December 8, 2023",53,130
"Wednesday, December 6, 2023",12,32
"Saturday, December 2, 2023",47,119
"Friday, December 1, 2023",45,116
"Wednesday, November 29, 2023",9,8
"Saturday, November 25, 2023",28,69
"Friday, November 24, 2023",21,27
"Wednesday, November 22, 2023",11,25
"Saturday, November 18, 2023",41,97
"Friday, November 17, 2023",79,88
"Wednesday, November 15, 2023",9,15
"Saturday, November 11, 2023",42,117
"Wednesday, November 8, 2023",8,18
"Saturday, November 4, 2023",64,108
"Friday, November 3, 2023",36,80
"Wednesday, November 1, 2023",14,15
"Saturday, October 28, 2023",52,177
"Friday, October 27, 2023",73,140
"Wednesday, October 25, 2023",20,25
"Saturday, October 21, 2023",59,144
"Friday, October 20, 2023",26,99
"Wednesday, October 18, 2023",14,22
"Saturday, October 14, 2023",51,126
"Friday, October 13, 2023",37,104
"Wednesday, October 11, 2023",19,30
"Saturday, October 7, 2023",38,97
"Friday, October 6, 2023",39,98
"Wednesday, October 4, 2023",8,17
"Saturday, September 30, 2023",52,131
"Friday, September 29, 2023",58,107
"Wednesday, September 27, 2023",16,31
"Saturday, September 23, 2023",38,74
"Friday, September 22, 2023",60,99
"Wednesday, September 20, 2023",9,25
"Saturday, September 16, 2023",41,135
"Friday, September 15, 2023",74,124
"Wednesday, September 13, 2023",10,15
"Saturday, September 9, 2023",48,144
"Friday, September 8, 2023",52,107
"Wednesday, September 6, 2023",9,15
"Saturday, September 2, 2023",60,132
"Friday, September 1, 2023",67,94
"Wednesday, August 30, 2023",17,23
"Saturday, August 26, 2023",51,91
"Friday, August 25, 2023",45,78
"Wednesday, August 23, 2023",20,28
"Saturday, August 19, 2023",41,84
"Friday, August 18, 2023",45,87
"Wednesday, August 16, 2023",25,27
"Saturday, August 12, 2023",40,78
"Friday, August 11, 2023",43,79
"Wednesday, August 9, 2023",14,13
"Saturday, August 5, 2023",50,129
"Friday, August 4, 2023",41,92
"Wednesday, August 2, 2023",24,25
"Saturday, July 29, 2023",53,133
"Friday, July 28, 2023",35,117
"Wednesday, July 26, 2023",8,16
"Saturday, July 22, 2023",45,112
"Friday, July 21, 2023",43,106
"Wednesday, July 19, 2023",16,24
"Saturday, July 15, 2023",40,107
"Friday, July 14, 2023",28,85
"Wednesday, July 12, 2023",15,26
"Saturday, July 8, 2023",47,100
"Friday, July 7, 2023",31,78
"Wednesday, July 5, 2023",10,14
"Saturday, July 1, 2023",39,94
"Friday, June 30, 2023",42,124
"Wednesday, June 28, 2023",21,26
"Saturday, June 24, 2023",50,387
"Friday, June 23, 2023",32,90
"Wednesday, June 21, 2023",13,15
"Saturday, June 17, 2023",25,109
"Friday, June 16, 2023",43,90
"Wednesday, June 14, 2023",25,53
"Saturday, June 10, 2023",51,120
"Friday, June 9, 2023",40,94
"Wednesday, June 7, 2023",9,19
"Saturday, June 3, 2023",40,92
"Friday, June 2, 2023",56,129
"Wednesday, May 31, 2023",15,32
"Saturday, May 27, 2023",23,77
"Friday, May 26, 2023",24,72
"Wednesday, May 24, 2023",11,22
"Saturday, May 20, 2023",21,71
"Friday, May 19, 2023",32,109
"Wednesday, May 17, 2023",15,23
"Saturday, May 13, 2023",34,93
"Friday, May 12, 2023",40,146
"Wednesday, May 10, 2023",6,10
"Saturday, May 6, 2023",33,78
"Friday, May 5, 2023",54,89
"Wednesday, May 3, 2023",13,17
"Saturday, April 29, 2023",62,186
"Friday, April 28, 2023",40,88
"Wednesday, April 26, 2023",11,17
"Saturday, April 22, 2023",39,94
"Friday, April 21, 2023",63,145
"Wednesday, April 19, 2023",3,18
"Saturday, April 15, 2023",34,114
"Friday, April 14, 2023",41,114
"Wednesday, April 12, 2023",8,16
"Saturday, April 8, 2023",28,84
"Friday, April 7, 2023",33,79
"Wednesday, April 5, 2023",14,15
"Saturday, April 1, 2023",30,136
"Friday, March 31, 2023",46,150
"Wednesday, March 29, 2023",10,17
"Saturday, March 25, 2023",59,107
"Friday, March 24, 2023",33,91
"Wednesday, March 22, 2023",15,23
"Saturday, March 18, 2023",41,85
"Friday, March 17, 2023",35,95
"Wednesday, March 15, 2023",22,42
"Saturday, March 11, 2023",47,95
"Friday, March 10, 2023",42,69
"Wednesday, March 8, 2023",14,40
"Saturday, March 4, 2023",38,106
"Friday, March 3, 2023",39,72
"Wednesday, March 1, 2023",22,37
"Saturday, February 25, 2023",34,91
"Friday, February 24, 2023",37,78
"Wednesday, February 22, 2023",12,16
"Saturday, February 18, 2023",51,127
"Friday, February 17, 2023",68,78
"Wednesday, February 15, 2023",37,51
"Saturday, February 11, 2023",36,68
"Friday, February 10, 2023",49,89
"Wednesday, February 8, 2023",26,35
"Saturday, February 4, 2023",37,91
"Friday, February 3, 2023",37,57
"Wednesday, February 1, 2023",7,11
"Saturday, January 28, 2023",42,96
"Friday, January 27, 2023",64,81
"Wednesday, January 25, 2023",21,18
"Saturday, January 21, 2023",34,88
"Friday, January 20, 2023",32,61
"Wednesday, January 18, 2023",8,13
"Saturday, January 14, 2023",43,95
"Friday, January 13, 2023",44,82
"Wednesday, January 11, 2023",23,28
"Saturday, January 7, 2023",36,75
"Friday, January 6, 2023",30,59
"Wednesday, January 4, 2023",14,20
