Day,Entries,Exits
"Saturday, January 6, 2024",109,52
"Friday, January 5, 2024",165,68
"Wednesday, January 3, 2024",33,42
"Saturday, December 30, 2023",128,55
"Friday, December 29, 2023",205,68
"Wednesday, December 27, 2023",38,18
"Saturday, December 23, 2023",125,68
"Friday, December 22, 2023",138,44
"Wednesday, December 20, 2023",68,20
"Saturday, December 16, 2023",240,135
"Friday, December 15, 2023",261,113
"Wednesday, December 13, 2023",18,26
"Saturday, December 9, 2023",278,116
"Friday, December 8, 2023",251,125
"Wednesday, December 6, 2023",23,32
"Saturday, December 2, 2023",289,109
"Friday, December 1, 2023",189,105
"Wednesday, November 29, 2023",16,15
"Saturday, November 25, 2023",121,76
"Friday, November 24, 2023",99,53
"Wednesday, November 22, 2023",19,23
"Saturday, November 18, 2023",186,110
"Friday, November 17, 2023",249,86
"Wednesday, November 15, 2023",20,28
"Saturday, November 11, 2023",261,111
"Friday, November 10, 2023",282,135
"Wednesday, November 8, 2023",8,9
"Saturday, November 4, 2023",249,135
"Friday, November 3, 2023",251,141
"Wednesday, November 1, 2023",13,17
"Saturday, October 28, 2023",659,279
"Friday, October 27, 2023",301,182
"Wednesday, October 25, 2023",42,38
"Saturday, October 21, 2023",315,185
"Friday, October 20, 2023",248,155
"Wednesday, October 18, 2023",32,39
"Saturday, October 14, 2023",201,190
"Friday, October 13, 2023",201,155
"Wednesday, October 11, 2023",26,31
"Saturday, October 7, 2023",258,117
"Friday, October 6, 2023",262,98
"Wednesday, October 4, 2023",17,23
"Saturday, September 30, 2023",390,139
"Friday, September 29, 2023",243,95
"Wednesday, September 27, 2023",12,28
"Saturday, September 23, 2023",192,181
"Friday, September 22, 2023",195,128
"Wednesday, September 20, 2023",23,24
"Saturday, September 16, 2023",258,108
"Friday, September 15, 2023",231,132
"Wednesday, September 13, 2023",16,27
"Saturday, September 9, 2023",233,124
"Friday, September 8, 2023",214,91
"Wednesday, September 6, 2023",23,23
"Saturday, September 2, 2023",214,118
"Friday, September 1, 2023",285,131
"Wednesday, August 30, 2023",11,19
"Saturday, August 26, 2023",241,112
"Friday, August 25, 2023",203,67
"Wednesday, August 23, 2023",18,28
"Saturday, August 19, 2023",212,74
"Friday, August 18, 2023",176,112
"Wednesday, August 16, 2023",18,20
"Saturday, August 12, 2023",238,130
"Friday, August 11, 2023",166,127
"Wednesday, August 9, 2023",18,16
"Saturday, August 5, 2023",178,174
"Friday, August 4, 2023",247,68
"Wednesday, August 2, 2023",13,12
"Saturday, July 29, 2023",258,247
"Friday, July 28, 2023",205,133
"Wednesday, July 26, 2023",10,15
"Saturday, July 22, 2023",245,133
"Friday, July 21, 2023",225,178
"Wednesday, July 19, 2023",17,26
"Saturday, July 15, 2023",224,132
"Friday, July 14, 2023",257,116
"Wednesday, July 12, 2023",23,35
"Saturday, July 8, 2023",222,96
"Friday, July 7, 2023",242,116
"Wednesday, July 5, 2023",22,21
"Saturday, July 1, 2023",204,126
"Friday, June 30, 2023",204,110
"Wednesday, June 28, 2023",13,15
