Day,Entries,Exits
"Saturday, December 30, 2023",21,17
"Friday, December 29, 2023",26,12
"Wednesday, December 27, 2023",2,2
"Saturday, December 23, 2023",15,12
"Friday, December 22, 2023",14,9
"Wednesday, December 20, 2023",15,13
"Saturday, December 16, 2023",49,39
"Friday, December 15, 2023",84,43
"Wednesday, December 13, 2023",10,11
"Saturday, December 9, 2023",72,51
"Friday, December 8, 2023",47,41
"Wednesday, December 6, 2023",6,8
"Saturday, December 2, 2023",44,40
"Friday, December 1, 2023",48,49
"Wednesday, November 29, 2023",6,6
"Saturday, November 25, 2023",26,22
"Friday, November 24, 2023",27,15
"Wednesday, November 22, 2023",7,15
"Saturday, November 18, 2023",49,40
"Friday, November 17, 2023",62,34
"Wednesday, November 15, 2023",19,23
"Saturday, November 11, 2023",62,52
"Wednesday, November 8, 2023",15,22
"Saturday, November 4, 2023",76,45
"Friday, November 3, 2023",69,56
"Wednesday, November 1, 2023",14,17
"Saturday, October 28, 2023",131,94
"Friday, October 27, 2023",106,90
"Wednesday, October 25, 2023",3,11
"Saturday, October 21, 2023",41,89
"Friday, October 20, 2023",65,33
"Wednesday, October 18, 2023",7,11
"Saturday, October 14, 2023",45,39
"Friday, October 13, 2023",56,55
"Wednesday, October 11, 2023",7,13
"Saturday, October 7, 2023",63,70
"Friday, October 6, 2023",72,58
"Wednesday, October 4, 2023",13,11
"Saturday, September 30, 2023",68,67
"Friday, September 29, 2023",67,54
"Wednesday, September 27, 2023",8,15
"Saturday, September 23, 2023",66,52
"Friday, September 22, 2023",69,56
"Wednesday, September 20, 2023",11,15
"Saturday, September 16, 2023",91,69
"Friday, September 15, 2023",84,36
"Wednesday, September 13, 2023",12,25
"Saturday, September 9, 2023",69,53
"Friday, September 8, 2023",67,46
"Wednesday, September 6, 2023",13,19
"Saturday, September 2, 2023",47,67
"Friday, September 1, 2023",38,28
"Wednesday, August 30, 2023",11,19
"Saturday, August 26, 2023",71,53
"Friday, August 25, 2023",27,33
"Wednesday, August 23, 2023",6,8
"Saturday, August 19, 2023",60,32
"Friday, August 18, 2023",35,60
"Wednesday, August 16, 2023",23,25
"Saturday, August 12, 2023",64,52
"Friday, August 11, 2023",40,44
"Wednesday, August 9, 2023",16,25
"Saturday, August 5, 2023",55,102
"Friday, August 4, 2023",63,66
