Day,Entries,Exits
"Saturday, December 30, 2023",10,11
"Friday, December 29, 2023",7,7
"Wednesday, December 27, 2023",2,6
"Saturday, December 23, 2023",6,11
"Friday, December 22, 2023",10,13
"Wednesday, December 20, 2023",0,2
"Saturday, December 16, 2023",19,31
"Friday, December 15, 2023",26,43
"Wednesday, December 13, 2023",11,21
"Saturday, December 9, 2023",14,72
"Friday, December 8, 2023",20,102
"Wednesday, December 6, 2023",15,18
"Saturday, December 2, 2023",22,92
"Friday, December 1, 2023",24,139
"Wednesday, November 29, 2023",18,23
"Saturday, November 25, 2023",9,27
"Friday, November 24, 2023",12,18
"Wednesday, November 22, 2023",8,11
"Saturday, November 18, 2023",47,70
"Friday, November 17, 2023",69,103
"Wednesday, November 15, 2023",18,33
"Saturday, November 11, 2023",49,117
"Wednesday, November 8, 2023",6,13
"Saturday, November 4, 2023",17,106
"Friday, November 3, 2023",19,100
"Wednesday, November 1, 2023",22,30
"Saturday, October 28, 2023",38,145
"Friday, October 27, 2023",30,142
"Wednesday, October 25, 2023",8,12
"Saturday, October 21, 2023",46,184
"Friday, October 20, 2023",19,68
"Wednesday, October 18, 2023",29,37
"Saturday, October 14, 2023",34,105
"Friday, October 13, 2023",46,49
"Wednesday, October 11, 2023",7,20
"Saturday, October 7, 2023",30,124
"Friday, October 6, 2023",28,120
"Wednesday, October 4, 2023",14,20
"Saturday, September 30, 2023",16,129
"Friday, September 29, 2023",25,140
"Wednesday, September 27, 2023",5,40
"Saturday, September 23, 2023",24,109
"Friday, September 22, 2023",19,67
"Wednesday, September 20, 2023",8,21
"Saturday, September 16, 2023",32,114
"Friday, September 15, 2023",20,103
"Wednesday, September 13, 2023",31,36
"Saturday, September 9, 2023",23,144
"Friday, September 8, 2023",40,135
"Wednesday, September 6, 2023",2,21
"Saturday, September 2, 2023",27,134
"Friday, September 1, 2023",35,138
"Wednesday, August 30, 2023",5,20
"Saturday, August 26, 2023",16,115
"Friday, August 25, 2023",13,81
"Wednesday, August 23, 2023",8,16
"Saturday, August 19, 2023",13,34
"Friday, August 18, 2023",28,42
"Wednesday, August 16, 2023",6,5
"Saturday, August 12, 2023",11,36
"Friday, August 11, 2023",16,31
"Wednesday, August 9, 2023",10,11
"Saturday, August 5, 2023",22,51
"Friday, August 4, 2023",20,50
"Wednesday, August 2, 2023",9,11
"Saturday, July 29, 2023",14,53
"Friday, July 28, 2023",7,52
"Wednesday, July 26, 2023",3,13
"Saturday, July 22, 2023",12,57
"Friday, July 21, 2023",13,69
"Wednesday, July 19, 2023",6,29
"Saturday, July 15, 2023",15,49
"Friday, July 14, 2023",5,40
"Wednesday, July 12, 2023",4,7
"Saturday, July 8, 2023",17,71
"Friday, July 7, 2023",16,49
"Wednesday, July 5, 2023",11,8
"Saturday, July 1, 2023",23,23
"Friday, June 30, 2023",20,29
"Wednesday, June 28, 2023",7,15
"Saturday, June 24, 2023",31,102
"Friday, June 23, 2023",19,36
"Wednesday, June 21, 2023",4,9
"Saturday, June 17, 2023",20,47
"Friday, June 16, 2023",14,40
"Wednesday, June 14, 2023",22,32
"Saturday, June 10, 2023",17,49
"Friday, June 9, 2023",16,43
"Wednesday, June 7, 2023",6,7
"Saturday, June 3, 2023",11,34
"Friday, June 2, 2023",26,68
"Wednesday, May 31, 2023",26,23
"Saturday, May 27, 2023",12,38
"Friday, May 26, 2023",13,46
"Wednesday, May 24, 2023",7,16
"Saturday, May 20, 2023",15,48
"Friday, May 19, 2023",17,29
"Wednesday, May 17, 2023",6,12
"Saturday, May 13, 2023",12,30
"Friday, May 12, 2023",35,37
"Wednesday, May 10, 2023",5,17
"Saturday, May 6, 2023",33,69
"Friday, May 5, 2023",11,52
"Wednesday, May 3, 2023",3,15
"Saturday, April 29, 2023",29,117
"Friday, April 28, 2023",10,25
"Wednesday, April 26, 2023",7,9
"Saturday, April 22, 2023",12,47
"Friday, April 21, 2023",32,73
"Wednesday, April 19, 2023",3,16
"Saturday, April 15, 2023",23,69
"Friday, April 14, 2023",8,68
"Wednesday, April 12, 2023",18,29
"Saturday, April 8, 2023",14,66
"Friday, April 7, 2023",21,62
"Wednesday, April 5, 2023",9,15
"Saturday, April 1, 2023",33,61
"Friday, March 31, 2023",29,82
"Wednesday, March 29, 2023",11,18
"Saturday, March 25, 2023",19,84
"Friday, March 24, 2023",15,61
"Wednesday, March 22, 2023",18,13
"Saturday, March 18, 2023",9,31
"Friday, March 17, 2023",11,38
"Wednesday, March 15, 2023",22,23
"Saturday, March 11, 2023",27,59
"Friday, March 10, 2023",22,38
"Wednesday, March 8, 2023",32,25
"Saturday, March 4, 2023",38,91
"Friday, March 3, 2023",21,41
"Wednesday, March 1, 2023",21,28
"Saturday, February 25, 2023",17,60
"Friday, February 24, 2023",17,63
"Wednesday, February 22, 2023",6,13
"Saturday, February 18, 2023",28,72
"Friday, February 17, 2023",23,56
"Wednesday, February 15, 2023",10,6
"Saturday, February 11, 2023",18,81
"Friday, February 10, 2023",22,70
"Wednesday, February 8, 2023",29,43
"Saturday, February 4, 2023",16,42
"Friday, February 3, 2023",14,39
"Wednesday, February 1, 2023",2,4
"Saturday, January 28, 2023",11,64
"Friday, January 27, 2023",32,73
"Wednesday, January 25, 2023",4,6
"Saturday, January 21, 2023",19,64
"Friday, January 20, 2023",14,63
"Wednesday, January 18, 2023",12,16
"Saturday, January 14, 2023",20,33
"Friday, January 13, 2023",10,29
"Wednesday, January 11, 2023",7,13
"Saturday, January 7, 2023",15,16
"Friday, January 6, 2023",8,22
"Wednesday, January 4, 2023",4,8
