Day,Entries,Exits
"Saturday, December 30, 2023",68,64
"Friday, December 29, 2023",59,45
"Wednesday, December 27, 2023",5,6
"Saturday, December 23, 2023",48,36
"Friday, December 22, 2023",72,33
"Wednesday, December 20, 2023",11,13
"Saturday, December 16, 2023",117,95
"Friday, December 15, 2023",133,103
"Wednesday, December 13, 2023",17,20
"Saturday, December 9, 2023",158,135
"Friday, December 8, 2023",138,89
"Wednesday, December 6, 2023",18,15
"Saturday, December 2, 2023",202,118
"Friday, December 1, 2023",117,119
"Wednesday, November 29, 2023",26,25
"Saturday, November 25, 2023",65,41
"Friday, November 24, 2023",95,71
"Wednesday, November 22, 2023",10,14
"Saturday, November 18, 2023",102,93
"Friday, November 17, 2023",91,111
"Wednesday, November 15, 2023",7,13
"Saturday, November 11, 2023",105,124
"Wednesday, November 8, 2023",17,17
"Saturday, November 4, 2023",145,104
"Friday, November 3, 2023",83,122
"Wednesday, November 1, 2023",9,11
"Saturday, October 28, 2023",208,169
"Friday, October 27, 2023",146,141
"Wednesday, October 25, 2023",16,19
"Saturday, October 21, 2023",117,132
"Friday, October 20, 2023",101,94
"Wednesday, October 18, 2023",17,23
"Saturday, October 14, 2023",119,88
"Friday, October 13, 2023",117,90
"Wednesday, October 11, 2023",17,19
"Saturday, October 7, 2023",158,87
"Friday, October 6, 2023",122,72
"Wednesday, October 4, 2023",21,23
"Saturday, September 30, 2023",199,136
"Friday, September 29, 2023",107,90
"Wednesday, September 27, 2023",17,13
"Saturday, September 23, 2023",140,122
"Friday, September 22, 2023",332,97
"Wednesday, September 20, 2023",11,6
"Saturday, September 16, 2023",219,85
"Friday, September 15, 2023",139,98
"Wednesday, September 13, 2023",18,24
"Saturday, September 9, 2023",316,84
"Friday, September 8, 2023",487,83
"Wednesday, September 6, 2023",4,8
"Saturday, September 2, 2023",157,142
"Friday, September 1, 2023",230,80
"Wednesday, August 30, 2023",13,18
"Saturday, August 26, 2023",157,75
"Friday, August 25, 2023",97,74
"Wednesday, August 23, 2023",9,5
"Saturday, August 19, 2023",128,95
"Friday, August 18, 2023",271,80
"Wednesday, August 16, 2023",16,14
"Saturday, August 12, 2023",325,102
"Friday, August 11, 2023",286,104
"Wednesday, August 9, 2023",7,11
"Saturday, August 5, 2023",164,124
"Friday, August 4, 2023",173,125
"Wednesday, August 2, 2023",8,12
"Saturday, July 29, 2023",374,159
"Friday, July 28, 2023",163,115
"Wednesday, July 26, 2023",27,35
"Saturday, July 22, 2023",387,105
"Friday, July 21, 2023",455,115
"Wednesday, July 19, 2023",30,36
"Saturday, July 15, 2023",138,102
"Friday, July 14, 2023",179,106
"Wednesday, July 12, 2023",27,21
"Saturday, July 8, 2023",206,94
"Friday, July 7, 2023",220,99
"Wednesday, July 5, 2023",18,17
"Saturday, July 1, 2023",179,51
"Friday, June 30, 2023",103,71
"Wednesday, June 28, 2023",11,14
"Saturday, June 24, 2023",242,137
"Friday, June 23, 2023",150,83
"Wednesday, June 21, 2023",14,17
"Saturday, June 17, 2023",274,135
"Friday, June 16, 2023",314,135
"Wednesday, June 14, 2023",18,22
"Saturday, June 10, 2023",213,116
"Friday, June 9, 2023",112,91
"Wednesday, June 7, 2023",26,27
"Saturday, June 3, 2023",250,84
"Friday, June 2, 2023",598,136
"Wednesday, May 31, 2023",32,42
"Saturday, May 27, 2023",133,66
"Friday, May 26, 2023",132,74
"Wednesday, May 24, 2023",21,35
"Saturday, May 20, 2023",178,79
"Friday, May 19, 2023",235,82
"Wednesday, May 17, 2023",3,11
"Saturday, May 13, 2023",181,89
"Friday, May 12, 2023",495,87
"Wednesday, May 10, 2023",10,14
"Saturday, May 6, 2023",120,87
"Friday, May 5, 2023",179,116
"Wednesday, May 3, 2023",11,18
"Saturday, April 29, 2023",323,210
"Friday, April 28, 2023",88,50
"Wednesday, April 26, 2023",6,23
"Saturday, April 22, 2023",146,98
"Friday, April 21, 2023",202,117
"Wednesday, April 19, 2023",5,25
"Saturday, April 15, 2023",190,144
"Friday, April 14, 2023",323,119
"Wednesday, April 12, 2023",4,12
"Saturday, April 8, 2023",151,64
"Friday, April 7, 2023",108,71
"Wednesday, April 5, 2023",15,22
"Saturday, April 1, 2023",155,107
"Friday, March 31, 2023",98,80
"Wednesday, March 29, 2023",7,14
"Saturday, March 25, 2023",195,132
"Friday, March 24, 2023",76,78
"Wednesday, March 22, 2023",10,15
"Saturday, March 18, 2023",92,95
"Friday, March 17, 2023",128,120
"Wednesday, March 15, 2023",11,38
"Saturday, March 11, 2023",126,73
"Friday, March 10, 2023",92,68
"Wednesday, March 8, 2023",6,9
"Saturday, March 4, 2023",89,92
"Friday, March 3, 2023",80,79
"Wednesday, March 1, 2023",11,24
"Saturday, February 25, 2023",128,101
"Friday, February 24, 2023",100,97
"Wednesday, February 22, 2023",16,15
"Saturday, February 18, 2023",91,77
"Friday, February 17, 2023",83,69
"Wednesday, February 15, 2023",2,7
"Saturday, February 11, 2023",92,93
"Friday, February 10, 2023",95,82
"Wednesday, February 8, 2023",3,8
"Saturday, February 4, 2023",72,79
"Friday, February 3, 2023",68,74
"Wednesday, February 1, 2023",2,4
"Saturday, January 28, 2023",92,98
"Friday, January 27, 2023",69,82
"Wednesday, January 25, 2023",8,19
"Saturday, January 21, 2023",105,110
"Friday, January 20, 2023",124,58
"Wednesday, January 18, 2023",5,18
"Saturday, January 14, 2023",92,77
"Friday, January 13, 2023",82,83
"Wednesday, January 11, 2023",13,14
"Saturday, January 7, 2023",94,84
"Friday, January 6, 2023",79,63
"Wednesday, January 4, 2023",13,17
